Design Signal Pad Name,IO Power Group,PUPD State During HHV,PUPD State After HHV,IO Power Supply Name,IO Power Setting,Required Voltage Level,Ball Name,Mode Interface Name,Mode Signal Name,Mode Type,User Checked PU,User Checked PD,User Checked RX,User Requirement Name
mmc1_clk,mmc1,PU,PU,vddshv8,3.3,3.3,W6,MMC1,mmc1_clk,,true,false,true,MMC1_MICRO
mmc1_cmd,mmc1,PU,PU,vddshv8,3.3,3.3,Y6,MMC1,mmc1_cmd,,true,false,true,MMC1_MICRO
mmc1_dat0,mmc1,PU,PU,vddshv8,3.3,3.3,AA6,MMC1,mmc1_dat0,,true,false,true,MMC1_MICRO
mmc1_dat1,mmc1,PU,PU,vddshv8,3.3,3.3,Y4,MMC1,mmc1_dat1,,true,false,true,MMC1_MICRO
mmc1_dat2,mmc1,PU,PU,vddshv8,3.3,3.3,AA5,MMC1,mmc1_dat2,,true,false,true,MMC1_MICRO
mmc1_dat3,mmc1,PU,PU,vddshv8,3.3,3.3,Y3,MMC1,mmc1_dat3,,true,false,true,MMC1_MICRO
mmc1_sdcd,mmc1,PU,PU,vddshv8,3.3,3.3,W7,MMC1,mmc1_sdcd,,true,false,true,MMC1_MICRO
mmc1_sdwp,mmc1,PD,PD,vddshv8,3.3,3.3,Y9,MMC1,mmc1_sdwp,,false,false,true,MMC1_MICRO
gpmc_a23,mmc2,PD,PD,vddshv11,1.8,1.8,J7,MMC2,mmc2_clk,,true,false,true,MMC2_EMMC
gpmc_cs1,mmc2,PU,PU,vddshv11,1.8,1.8,H6,MMC2,mmc2_cmd,,true,false,true,MMC2_EMMC
gpmc_a24,mmc2,PD,PD,vddshv11,1.8,1.8,J4,MMC2,mmc2_dat0,,true,false,true,MMC2_EMMC
gpmc_a25,mmc2,PD,PD,vddshv11,1.8,1.8,J6,MMC2,mmc2_dat1,,true,false,true,MMC2_EMMC
gpmc_a26,mmc2,PD,PD,vddshv11,1.8,1.8,H4,MMC2,mmc2_dat2,,true,false,true,MMC2_EMMC
