Item,Embest P/N,Part Type,QTY,Location,Manufacturer,Manufacture P/N,Description,Package
74,1005005100012,Ferrite Bead,3,"FB2,FB3,FB6",MURATA,BLM18PG181SN1D,"Ferrite Bead,180ohm@100MHz,+/-25%,1500mA,0.09ohm,SMD0603",603
75,1005005100058,Ferrite Bead,1,FB5,MURATA,BLM15PD121SN1D,"Ferrite Bead,120ohm@100MHz,+/-25%,1300mA,0.09ohm,SMD0402",402
76,1006001100015,LED,6,"D1,D2,D3,D4,D5,D8",EVERLIGHT,19-217/G7C-AN1P2/3T,"LED,Super Yellow Green,Water Clear,20mA,SMD0603, 569.5~577.5nm",603
77,1006002100003,Diode,1,D77,DIODES,1N5819HW-7-F,"Diode,Schottky Diode,1N5819HW-7-F,40V,1A,SOD-123,SMD,-65~125,TR",SOD-123
78,1006002100006,Diode,2,"D81,D82",DIODES,B360A-13-F,"Diode,Schottky Diode,B360A-13-F,60V,3A,SMA,SMD",SMA
79,1006003100004,Diode,1,Q19,NXP,"BAT54C,215","Diode,Schottky Barrier(Double) Diodes,BAT54C,215,30V,200mA,SOT-23,SMD",SOT-23
80,1006004100023,Diode,1,D76,ON,MM5Z5V1ST1G,"Diode,Zener Diode,MM5Z5V1ST1G,5.1V,+/-2%,200 mW,SOD523,SMD,-65~155,AEC-Q101,TR",SOD-523
81,1006005100016,Diode,2,"D78,D79",NXP,"PRTR5V0U2X,215","Diode,TVS,PRTR5V0U2X, 5.5V,SOT-143B,SMD",SOT-143B
82,1006005100019,Diode,5,"D21,D22,D23,D24,D25",ON,ESD5B5.0ST1G,"Diode,TVS,ESD5B5.0ST1G,5V,50W,SOD-523,SMD",SOD-523
83,1006005100089,Diode,2,"D46,D47",TOPS,ESD0402-V05L,"Diode,TVS,ESD0402-V05L, 5V, 0.1pF,0402,SMD",402
84,1006012100001,Transistor,3,"Q1,Q4,Q14",DIODES,MMBT2907A-7-F,"Transistor,PNP,MMBT2907A-7-F,60V,600MA,SOT-23,SMD",SOT-23
85,1006014100031,MOSFET,1,Q15,FAIRCHILD,FDMA908PZ,"MOSFET,Single P-Channel PowerTrench MOSFET,-12A, -12V,12.5 mohm,microFET2x2(8Pin),SMD",microFET2x2(8Pin)
86,1006015100003,MOSFET,1,Q17,FAIRCHILD,2N7002,"Mosfet,N-Channel,2N7002,60V,115mA,SOT-23,SMD",SOT-23
87,1006015100009,MOSFET,1,Q18,ON,BSS138LT1G,"Mosfet,N-Channel,BSS138LT1G,50V,0.2A,SOT-23,SMD",SOT-23
88,1006015100011,MOSFET,2,"T1,T2",VISHAY,Si1902CDL-T1-GE3,"Mosfet,N-Channel,Si1902CDL-T1-GE3,20V,385mohm,1.5A,SOT-363,SMD",SOT-363
89,1008001100120,Oscillator,1,OSC1,INTERQUIP,1651-L3273-BTBQYA,"Oscillator,1651-L3273-BTBQYA,32.768KHz,+/-30ppm,3.3V,2520-4 pads,SMD",SMD
90,1008002100155,Crystal,1,X4,AEL,X37M400000S002,"XTAL,37.4MHz,12PF 1.6x1.2mm,,X37M400000S002, SMT TR (ftol;10ppm,ftmp:10ppm,ESR:60ohm(max),-10~60)",SMD
91,1008002100252,Crystal,1,X6,Interquip,5ZAA16384102TFA5Q3,"Crystal,5ZAA16384102TFA5Q3,16.384MHZ,+/-20PPM,10PF,-40 to + 85°C,SMD2520-4 pad",SMD
92,1008002100253,Crystal,1,X7,Interquip,5ZAA20000181TFA2Q3,"Crystal,5ZAA20000181TFA2Q3,20MHZ,+/-10PPM,18PF,-40 to + 85°C,SMD2520-4 pad",SMD
93,1008002100254,Crystal,1,X8,Interquip,5ZAA22579182TFA0Q3,"Crystal,5ZAA22579182TFA0Q3,22.5792MHZ,+/-20PPM,18PF,-40 to + 85°C,SMD2520-4 pad",SMD
94,1008002100255,Crystal,1,X9,Interquip,5ZAA25000202TFA0Q3,"Crystal,5ZAA25000202TFA0Q3,25MHZ,+/-20PPM,20PF,-40 to + 85°C,SMD2520-4 pad",SMD
95,1009002200073,Pin Socket,2,"P8,P9",MTCONN,JT254F-D180-850-223-001-G,"Connector,Pin Socket,Straight,Female,2x23Pin,2.54MM pitch,8.5,3.0,Gold Flash 1u, black,DIP",DIP
96,1009007100107,USB Connector,1,J42,MTCONN,UBF31-0170,"Connector,USB type C port,female,flat insert,SMT/THT;",SMT
97,1009007200069,USB Connector,1,J41,Foxcon,UB11123-4H9-4F,"Connector,USB A port,4 Position,female,Right Angle,30u GXT Contact,black,DIP",DIP
98,1009008100005,HDMI Connector,1,J91,FCI,10118241-001RLF,"Connector,HDMI Receptacle, Type D, Right Angle,DIP+ SMT leg",SMD
99,1009014200068,Terminal Block,1,J92,JST,B3B-ZR(LF)(SN),"Connector, Wire-To-Board Top Entry, ZH Series, Through Hole, Header, 3PIN, 1.5 mm, Tin Plated Contacts",DIP
100,1009017100086,Card Connector,1,J90,MTCONN,MCTF-0606,"Connector,MicroSD Card CONN with detect switch,Gold Flash,Black,SMD",SMD
101,1009019100014,RF Connector,1,J33,HIROSE,U.FL-R-SMT-1(10),"Connector,Coaxial Connector,U.FL-R-SMT-1,6GHZ,SMD,TR  U.FL-R-SMT-1(10) Packing for2,500 pcs/reel or U.FL-R-SMT-1(40) Packing for4,000 pcs/reel or U.FL-R-SMT(01) Packing for 1000pcs/pack",SMD
102,1009023100008,Modular Jack,1,J37,MTCONN,JTRJ45-4118NLF,"Connector,RJ45 Jack with integrated magnetics and G/(G+Y) leds,Right Angle,1000M,Top contact,Gold Flash 6u,Black,21.35x15.95x13.54MM,DIP",DIP
103,1010001100030,Tactile Switch,2,"S1,S3",C&K,KMR231GLFS,"Switch,Tactile,300gf+/-50gf,black housing,black plunger,4.6*2.8*1.9MM,SMD",KMR2
104,1013002100020,Filter,2,"FL1,FL2",Murata,NFM21PC474R1C3D,CAP Feedthru 0.47UF 20% 16V 0805,SMD
105,1013002100028,Filter,2,"U88,U89",NXP,PCMF2USB30Z,Common-mode EMI filter for differential channels with integrated ESD protection,
106,1013002100030,Filter,2,"U91,U92",Nexperia,PCMF2HDMI2S,"EMI filter with integrated ElectroStatic Discharge protection two differential channels,PCMF2HDMI2S,SMD",SMD
107,1105002000038,Wi-fi Module,1,U37,AzureWave,AW-CM256SM,"IEEE 802.11 a/b/g/n/ac WIFI with Bluetooth 4.2 combo SDIO and UART Stamp Module,AW-CM256SM,SMD",
